"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	1868.309107	1868.948462	5684.211	13333.333	3789.844	0.2358	9388.477	13178.32	11003.467	"6115.430;6007.764;9883.740;12812.256;12855.322;13027.588;12833.789;12596.924;12316.992;12037.061;11714.062;11498.730;10895.801;10702.002;10379.004;9926.807;9560.742;9065.479;8720.947;7945.752;7472.021;7364.355;7665.820;7838.086;7773.486;6804.492;6718.359;6696.826;6675.293;6675.293;6696.826;6696.826;6696.826;6696.826"	"6976.758;7127.490;12833.789;12919.922;13092.188;13156.787;13092.188;12876.855;12726.123;12403.125;12209.326;11821.729;11520.264;11025.000;10766.602;10465.137;9754.541;9689.941;9453.076;9776.074;9819.141;9797.607;9948.340;10034.473;10012.939;9969.873;9065.479;6826.025;8957.812;9625.342;9797.607;9754.541;9668.408;9646.875"	"12230.859;12338.525;12898.389;13070.654;13221.387;13221.387;13221.387;13199.854;13178.320;13113.721;12919.922;12833.789;12381.592;12123.193;12166.260;11950.928;10831.201;10551.270;10981.934;11391.064;11670.996;11800.195;11584.863;11778.662;11864.795;11563.330;11304.932;11154.199;11240.332;11627.930;11627.930;11757.129;11757.129;11692.529"	0.576	7	13199.854	348.983	"F"
"2"	2	"Spectrogram 1"	1	1870.505152	1871.339093	4982.456	13192.982	3596.045	0.2358	8893.213	12489.258	9840.674	"5964.697;5943.164;12618.457;12747.656;12876.855;12489.258;11843.262;11670.996;11434.131;11283.398;10981.934;10788.135;10508.203;10185.205;9819.141;9668.408;9496.143;9345.410;8979.346;8699.414;8613.281;7881.152;7278.223;6955.225;7278.223;7385.889;7515.088;7708.887;7644.287;7558.154;7428.955;7536.621;7665.820;7579.688;7385.889;7192.090;6610.693;6610.693;6610.693;6610.693;6589.160;6352.295;6223.096;6395.361;6309.229;5986.230"	"7859.619;7795.020;12898.389;12984.521;12962.988;12919.922;12489.258;11864.795;11714.062;11477.197;11154.199;11068.066;10874.268;10702.002;10206.738;9797.607;9689.941;9582.275;9345.410;9065.479;8893.213;8979.346;8914.746;9108.545;9194.678;9216.211;9410.010;9431.543;9410.010;9366.943;9280.811;9280.811;9302.344;9345.410;9431.543;9302.344;8527.148;6675.293;6675.293;8850.146;9043.945;9065.479;9087.012;9043.945;8871.680;8871.680"	"10917.334;12596.924;12984.521;13070.654;13070.654;13070.654;12962.988;12747.656;12510.791;12467.725;11864.795;11692.529;11714.062;11434.131;11218.799;10594.336;10185.205;10185.205;10099.072;9862.207;9926.807;10551.270;10874.268;10809.668;10809.668;10917.334;10938.867;10917.334;10981.934;10745.068;10960.400;11111.133;11068.066;10809.668;10831.201;10960.400;10529.736;10077.539;10206.738;11003.467;10809.668;10981.934;11197.266;11089.600;11154.199;11283.398"	0.633	13	13049.121	372.724	"F"
"3"	3	"Spectrogram 1"	1	1872.605934	1873.356481	5614.035	13192.982	3445.312	0.254	8850.146	12295.459	10314.404	"6266.162;6244.629;12209.326;12360.059;12446.191;11757.129;11347.998;11003.467;10938.867;10723.535;10465.137;10185.205;9991.406;9689.941;9582.275;9237.744;9022.412;8893.213;8247.217;6589.160;6373.828;6373.828;6546.094;6567.627;6481.494;6459.961;6524.561;6503.027;6524.561;6546.094;6739.893;6589.160;6503.027;6373.828;6438.428;6459.961;6395.361;6395.361;6352.295;6287.695;6330.762"	"6696.826;11886.328;12833.789;12919.922;12898.389;12575.391;11864.795;11412.598;11068.066;11046.533;10960.400;10594.336;10422.070;10077.539;9991.406;9733.008;9431.543;9323.877;9237.744;8914.746;8742.480;9173.145;9323.877;9388.477;9431.543;9345.410;8914.746;9065.479;9194.678;9323.877;9280.811;9151.611;9259.277;9151.611;9065.479;9108.545;9065.479;8979.346;8850.146;8850.146;8957.812"	"12015.527;12769.189;13070.654;13070.654;13113.721;13092.188;13049.121;12575.391;12316.992;12252.393;11821.729;11649.463;11563.330;11261.865;10938.867;10723.535;10594.336;10723.535;10745.068;10702.002;10702.002;10766.602;10788.135;10745.068;10809.668;10917.334;10874.268;10917.334;10917.334;10658.936;10615.869;10745.068;10788.135;10938.867;10960.400;10895.801;10960.400;10766.602;11068.066;11154.199;10917.334"	3.294	16	13049.121	303.877	"F"
"4"	4	"Spectrogram 1"	1	1873.884644	1874.551797	5052.632	12491.228	2519.385	0.2358	8764.014	11283.398	9776.074	"5426.367;5426.367;7730.420;9754.541;11111.133;11304.932;11154.199;10895.801;10723.535;10508.203;10314.404;10099.072;9862.207;9668.408;9560.742;9259.277;9043.945;8893.213;8613.281;8225.684;7450.488;6373.828;6352.295;6524.561;6610.693;6395.361;6373.828;6826.025;7127.490;6567.627;6287.695;6330.762;6438.428;6438.428;6201.562;6352.295;6266.162"	"7622.754;7601.221;10852.734;11821.729;12101.660;11757.129;11412.598;11068.066;11046.533;10723.535;10551.270;10486.670;10271.338;9733.008;9711.475;9689.941;9345.410;9302.344;9194.678;9108.545;9087.012;8656.348;8785.547;9216.211;9194.678;8979.346;8742.480;8871.680;9259.277;9302.344;9043.945;9087.012;9216.211;8893.213;9043.945;9022.412;9108.545"	"11714.062;11584.863;11778.662;12338.525;12360.059;12338.525;12295.459;11800.195;11606.396;11455.664;11175.732;11154.199;10981.934;10702.002;10508.203;10465.137;10379.004;10379.004;10572.803;10572.803;10400.537;10379.004;10529.736;10615.869;10572.803;10551.270;10529.736;10508.203;10508.203;10529.736;10508.203;10637.402;10551.270;10615.869;10465.137;10379.004;10465.137"	2.902	13	12316.992	168.557	"F"
"5"	5	"Spectrogram 1"	1	1874.861532	1875.083917	5052.632	11368.421	5297.168	0.1814	5254.102	10551.27	6890.625	"5103.369;5232.568;5254.102;5189.502;5211.035;5232.568;5232.568;5232.568;5211.035;5232.568;5275.635;6115.430"	"5727.832;6955.225;7299.756;7536.621;7385.889;7235.156;7342.822;7321.289;7084.424;7385.889;6826.025;6804.492"	"10099.072;8548.682;10400.537;10917.334;10960.400;10938.867;10723.535;10723.535;10831.201;10788.135;9194.678;7515.088"	8.309	4	7730.42	122.263	"M"
"6"	6	"Spectrogram 1"	1	1875.385738	1875.913901	5684.211	12070.175	1636.523	0.2177	8850.146	10486.67	9905.273	"6718.359;10960.400;10702.002;10465.137;10292.871;10228.271;10099.072;10056.006;9883.740;9689.941;9560.742;9259.277;9000.879;8893.213;8613.281;7859.619;6416.895;6373.828;6675.293;6739.893;6438.428;6395.361;6459.961;6416.895;6459.961;6438.428;6546.094;6459.961"	"11240.332;11692.529;11046.533;10831.201;10486.670;10314.404;10292.871;10228.271;10077.539;9926.807;9797.607;9711.475;9517.676;9345.410;9496.143;9259.277;9237.744;9280.811;9560.742;9517.676;9410.010;8764.014;8484.082;9130.078;9173.145;9022.412;9237.744;8699.414"	"11778.662;11950.928;11886.328;11692.529;11369.531;10766.602;10572.803;10422.070;10400.537;10249.805;10163.672;10120.605;10142.139;10142.139;10120.605;10206.738;10099.072;10120.605;10228.271;10228.271;10271.338;10228.271;11304.932;11498.730;11498.730;11369.531;11369.531;11326.465"	-1.89	10	11864.795	105.645	"F"
"7"	7	"Spectrogram 1"	1	1875.75107	1876.02905	4771.93	11719.298	5512.5	0.1814	5512.5	11025	8893.213	"5792.432;5469.434;5469.434;5577.100;5512.500;5469.434;5404.834;5318.701;5512.500;5534.033;5555.566;5490.967;5361.768;5383.301;5512.500"	"9366.943;8484.082;8161.084;8936.279;8957.812;8720.947;9000.879;8225.684;8850.146;8764.014;8677.881;8699.414;8204.150;8570.215;8613.281"	"10249.805;10228.271;11132.666;11498.730;11498.730;11326.465;11304.932;11304.932;10615.869;10594.336;10357.471;10335.938;10357.471;10422.070;10314.404"	-0.17	7	11498.73	136.507	"M"
"8"	8	"Spectrogram 1"	1	1876.386467	1877.081418	5684.211	10245.614	1270.459	0.2721	8764.014	10034.473	9754.541	"5706.299;5684.766;5684.766;5706.299;5727.832;8979.346;9302.344;9539.209;9754.541;9754.541;9883.740;9905.273;9883.740;9862.207;9668.408;9646.875;9280.811;9151.611;8914.746;8720.947;8462.549;7945.752;6567.627;6352.295;6352.295;6524.561;6438.428;6373.828;6373.828;6115.430;6050.830;6050.830;6093.896;6072.363;6072.363;6115.430;6115.430;6158.496"	"6804.492;5727.832;5749.365;5749.365;8893.213;9689.941;9776.074;9797.607;9819.141;9926.807;9991.406;10012.939;10012.939;9991.406;9797.607;9711.475;9689.941;9496.143;9302.344;9216.211;9194.678;9087.012;8828.613;8742.480;9043.945;9043.945;8914.746;8828.613;8850.146;8914.746;8936.279;8764.014;9108.545;8979.346;8656.348;8893.213;8785.547;8376.416"	"9539.209;9560.742;9582.275;9539.209;9259.277;9797.607;9819.141;9905.273;9926.807;10034.473;10099.072;10120.605;10077.539;10077.539;10034.473;9991.406;9991.406;10012.939;10034.473;9991.406;9991.406;10012.939;10012.939;10034.473;10034.473;10056.006;10056.006;9991.406;10012.939;9991.406;9969.873;9948.340;10012.939;10034.473;10077.539;10077.539;9969.873;9969.873"	3.689	14	10034.473	218.411	"F"
"9"	9	"Spectrogram 1"	1	1876.668405	1876.918587	4842.105	11368.421	1851.855	0.1633	8161.084	10012.939	9496.143	"9280.811;9108.545;8893.213;8699.414;8441.016;7902.686;6546.094;6352.295;6352.295;6438.428;6416.895;6352.295;6352.295"	"9689.941;9474.609;9302.344;9216.211;9194.678;9065.479;8828.613;8720.947;9043.945;9043.945;8914.746;8828.613;8850.146"	"9991.406;10012.939;10034.473;9991.406;10012.939;10012.939;10012.939;10034.473;10034.473;10056.006;10056.006;10012.939;10034.473"	-3.759	7	10034.473	70.034	"M"
"10"	10	"Spectrogram 1"	1	1877.196568	1877.474548	4842.105	11719.298	6050.83	0.1633	5361.768	11412.598	7536.621	"6072.363;5232.568;5297.168;5447.900;5426.367;5426.367;5404.834;5275.635;5275.635;5426.367;5512.500;5469.434;5426.367;5426.367;5340.234"	"8204.150;6201.562;7084.424;7579.688;7708.887;7665.820;7601.221;7601.221;7579.688;7536.621;7558.154;7536.621;7601.221;7256.689;7493.555"	"10228.271;8247.217;9711.475;11412.598;11498.730;11498.730;11412.598;11391.064;11434.131;11477.197;11304.932;11434.131;11283.398;10680.469;11326.465"	-2.798	8	8204.15	127.011	"M"
