"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	2062.913684	2063.358452	6105.263	11578.947	4694.238	0.2177	6567.627	11261.865	7170.557	"6610.693;6761.426;6761.426;6481.494;6459.961;6739.893;6546.094;6567.627;6653.760;6589.160;6632.227;6610.693;6546.094;6610.693;6589.160;6589.160;6632.227;6610.693;6546.094;6503.027;6503.027;6481.494;6546.094"	"6890.625;6869.092;6869.092;6869.092;7019.824;7170.557;7428.955;7278.223;7342.822;7299.756;7407.422;7278.223;7127.490;6955.225;7321.289;7213.623;7278.223;7213.623;7149.023;7149.023;7084.424;7019.824;7041.357"	"10422.070;7450.488;9000.879;7342.822;9969.873;10852.734;11261.865;11347.998;11326.465;11326.465;11347.998;11304.932;11261.865;11261.865;11369.531;11369.531;11304.932;11304.932;11175.732;11261.865;10960.400;10874.268;10788.135"	0.27	13	11369.531	246.9	"M"
"2"	2	"Spectrogram 1"	1	2064.331383	2064.748354	6035.088	11789.474	4780.371	0.1814	6567.627	11347.998	7170.557	"6481.494;6524.561;6309.229;6524.561;6459.961;6589.160;6653.760;6567.627;6589.160;6503.027;6589.160;6675.293;6589.160;6675.293;6589.160;6524.561;6589.160;6503.027;6481.494;6481.494;6546.094;6524.561"	"7407.422;8204.150;6718.359;6976.758;7213.623;7235.156;7149.023;7192.090;9474.609;7127.490;7149.023;7235.156;7149.023;7084.424;7256.689;7084.424;7192.090;7192.090;7299.756;7278.223;7105.957;7105.957"	"10809.668;11606.396;10012.939;7644.287;10142.139;11412.598;11369.531;11455.664;11563.330;11304.932;11261.865;11197.266;11520.264;10917.334;11326.465;11132.666;11261.865;11347.998;11132.666;11563.330;11046.533;10917.334"	-0.283	10	11563.33	242.152	"M"
"3"	3	"Spectrogram 1"	1	2065.387709	2065.832477	6105.263	11859.649	4974.17	0.1814	6610.693	11584.863	7170.557	"6201.562;6330.762;6266.162;6503.027;6589.160;6610.693;6653.760;6653.760;6632.227;6610.693;6610.693;6610.693;6610.693;6610.693;6653.760;6632.227;6696.826;6696.826;6610.693;6567.627;6610.693;6610.693;6610.693;6546.094"	"7472.021;7816.553;7838.086;6976.758;7041.357;7084.424;7149.023;7235.156;7321.289;7364.355;7299.756;7170.557;7192.090;7256.689;7149.023;7256.689;7235.156;7256.689;7278.223;7256.689;7256.689;7235.156;7019.824;6653.760"	"11240.332;11240.332;11132.666;7472.021;9711.475;11111.133;11606.396;11649.463;11606.396;11584.863;11541.797;11477.197;11606.396;11584.863;11369.531;11477.197;11261.865;11240.332;11304.932;11218.799;11154.199;11240.332;11154.199;10572.803"	-0.619	10	7299.756	26.114	"M"
"4"	4	"Spectrogram 1"	1	2066.277246	2066.694217	6105.263	11719.298	4888.037	0.1814	6546.094	11434.131	7213.623	"6266.162;6416.895;6373.828;6352.295;6481.494;6524.561;6503.027;6610.693;6589.160;6567.627;6718.359;6718.359;6610.693;6546.094;6546.094;6524.561;6567.627;6481.494;6503.027;6567.627;6481.494;6524.561"	"7472.021;7170.557;6912.158;6912.158;7062.891;6998.291;7149.023;7428.955;7342.822;7213.623;7321.289;7342.822;7192.090;7149.023;7127.490;7192.090;7149.023;7321.289;7342.822;7321.289;7019.824;7084.424"	"11111.133;11197.266;10206.738;9517.676;9410.010;10895.801;11412.598;11541.797;11455.664;11455.664;11347.998;11477.197;11455.664;11477.197;11261.865;11391.064;11391.064;11455.664;11498.730;11391.064;11391.064;11175.732"	-0.113	9	7321.289	18.992	"M"
"5"	5	"Spectrogram 1"	1	2067.171796	2067.606539	6222.222	11809.524	4866.504	0.1814	6589.16	11455.664	7235.156	"6567.627;6675.293;6567.627;6567.627;6567.627;6610.693;6632.227;6653.760;6589.160;6589.160;6589.160;6567.627;6589.160;6610.693;6610.693;6589.160;6546.094;6610.693;6632.227;6567.627;6567.627;6567.627;6589.160"	"7816.553;8268.750;7019.824;7105.957;7192.090;7235.156;7170.557;7278.223;7450.488;7342.822;7299.756;7256.689;7256.689;7278.223;7192.090;7170.557;7256.689;7278.223;7213.623;7127.490;7105.957;7321.289;7536.621"	"11304.932;11412.598;8161.084;10508.203;11412.598;11498.730;11391.064;11391.064;11412.598;11520.264;11541.797;11520.264;11520.264;11520.264;11541.797;11412.598;11391.064;11412.598;11261.865;11412.598;11412.598;11369.531;11369.531"	0.54	10	7235.156	14.244	"M"
"6"	6	"Spectrogram 1"	1	2068.118001	2068.501598	6158.73	11873.016	5103.369	0.1633	6546.094	11649.463	7213.623	"6330.762;6438.428;6481.494;6481.494;6524.561;6610.693;6589.160;6546.094;6524.561;6589.160;6632.227;6546.094;6524.561;6524.561;6503.027;6481.494;6503.027;6481.494;6503.027;6459.961"	"8225.684;6998.291;7062.891;7170.557;7213.623;7364.355;7428.955;7708.887;7472.021;7299.756;7256.689;7127.490;7062.891;7256.689;7062.891;7235.156;7299.756;7213.623;7299.756;7342.822"	"11477.197;7622.754;10422.070;11154.199;11541.797;11692.529;11692.529;11649.463;11714.062;11541.797;11304.932;11498.730;11584.863;11563.330;11434.131;11218.799;11218.799;11520.264;11304.932;11520.264"	0.375	11	11649.463	256.396	"M"
"7"	7	"Spectrogram 1"	1	2068.642154	2069.415031	4825.397	13079.365	5921.631	0.2177	6739.893	12661.523	9323.877	"5469.434;5404.834;5232.568;10357.471;10615.869;11175.732;10809.668;10400.537;9840.674;9431.543;8613.281;8182.617;7515.088;7364.355;6998.291;6804.492;6675.293;6395.361;6115.430;6029.297;6158.496;6115.430;6287.695;6244.629;6266.162;6223.096;6072.363;6244.629;6244.629;6223.096;6136.963;6115.430;6180.029;6223.096;6029.297;6158.496;6287.695;6287.695;6223.096;6201.562;6180.029;6115.430;6158.496"	"6976.758;7924.219;7299.756;10723.535;11800.195;12855.322;12338.525;11111.133;10422.070;10034.473;9345.410;9130.078;8893.213;8290.283;7708.887;7213.623;7278.223;7299.756;6826.025;7299.756;7256.689;7278.223;7192.090;7149.023;6998.291;7149.023;7149.023;7256.689;7105.957;7105.957;7084.424;6976.758;6998.291;7062.891;7299.756;6933.691;6955.225;7149.023;7149.023;6869.092;6976.758;6933.691;7256.689"	"11778.662;12747.656;12080.127;11757.129;12747.656;12941.455;12941.455;12898.389;12661.523;11627.930;11520.264;10572.803;10486.670;10099.072;10012.939;10012.939;10056.006;12273.926;12381.592;12661.523;12381.592;11627.930;11778.662;10809.668;10981.934;10357.471;10637.402;10551.270;10508.203;10400.537;10077.539;9948.340;10185.205;9862.207;10077.539;9883.740;9754.541;9410.010;9711.475;9754.541;9926.807;9797.607;9991.406"	0.707	18	12876.855	223.159	"F"
"8"	8	"Spectrogram 1"	1	2069.473377	2069.856974	6095.238	11746.032	4672.705	0.1814	6481.494	11154.199	7149.023	"6266.162;6266.162;6352.295;6416.895;6459.961;6481.494;6546.094;6524.561;6481.494;6459.961;6546.094;6546.094;6503.027;6481.494;6481.494;6524.561;6503.027;6481.494;6481.494;6481.494"	"6998.291;7105.957;6998.291;6847.559;7019.824;7062.891;7127.490;7213.623;7299.756;7385.889;7321.289;7170.557;7192.090;7192.090;7364.355;7278.223;7170.557;7149.023;7235.156;7192.090"	"10206.738;10206.738;10012.939;8548.682;9711.475;10379.004;11046.533;11261.865;11412.598;11520.264;11498.730;11068.066;11068.066;11261.865;11326.465;11132.666;11347.998;11455.664;11434.131;11240.332"	0.562	9	7428.955	30.862	"M"
"9"	9	"Spectrogram 1"	1	2070.24057	2070.64974	6095.238	11809.524	4672.705	0.1633	6589.16	11261.865	7472.021	"6503.027;6459.961;6589.160;6567.627;6653.760;6675.293;6610.693;6589.160;6589.160;6567.627;6632.227;6589.160;6589.160;6782.959;6610.693;6632.227;6589.160;6653.760;6589.160;6546.094;6610.693"	"6632.227;6653.760;7149.023;7342.822;7493.555;7515.088;7515.088;8979.346;7342.822;7515.088;7428.955;7407.422;7450.488;7515.088;7428.955;7342.822;7407.422;7321.289;7256.689;7472.021;7342.822"	"9646.875;9819.141;8354.883;10099.072;10551.270;10852.734;11283.398;11520.264;11477.197;11326.465;11304.932;10874.268;11089.600;11520.264;11434.131;11477.197;10895.801;11025.000;11089.600;11089.600;10895.801"	1.009	9	11498.73	221.972	"M"
"10"	10	"Spectrogram 1"	1	2070.815869	2071.516289	5333.333	13523.81	6136.963	0.2721	6804.492	12941.455	9431.543	"5727.832;5598.633;6589.160;10874.268;11412.598;11391.064;11003.467;10400.537;9819.141;9366.943;8677.881;8053.418;7838.086;7385.889;7105.957;6826.025;6632.227;6503.027;6416.895;6287.695;6395.361;6438.428;6481.494;6395.361;6330.762;6330.762;6438.428;6503.027;6416.895;6395.361;6438.428;6459.961;6481.494;6459.961;6395.361;6330.762;6309.229;6309.229"	"7342.822;7278.223;11175.732;11864.795;13156.787;13135.254;12058.594;11778.662;10745.068;10400.537;9840.674;9259.277;9259.277;8742.480;8548.682;7493.555;7773.486;7536.621;7515.088;7127.490;7170.557;7278.223;7493.555;7428.955;7299.756;7278.223;7192.090;7213.623;7472.021;7321.289;7299.756;7342.822;7213.623;7127.490;7127.490;7170.557;7278.223;7149.023"	"12252.393;12510.791;12381.592;13285.986;13393.652;13415.186;13415.186;13372.119;13393.652;12639.990;12015.527;11111.133;10981.934;11089.600;10702.002;10486.670;10917.334;11347.998;11132.666;11025.000;10766.602;10852.734;10852.734;10551.270;10551.270;10615.869;10379.004;10400.537;10465.137;10142.139;10120.605;10099.072;9948.340;9991.406;10077.539;10077.539;10077.539;10056.006"	-0.385	16	13393.652	242.152	"F"
