"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	163.6034466	164.4373877	5403.509	15017.544	7321.289	0.3628	7278.223	14599.512	9625.342	"5986.230;5943.164;6826.025;9560.742;14513.379;14577.979;14685.645;14491.846;14233.447;13759.717;13027.588;12661.523;11369.531;10766.602;10335.938;9754.541;9388.477;9043.945;8914.746;8333.350;7967.285;7428.955;6955.225;6373.828;6826.025;6459.961;6481.494;6524.561;6503.027;6696.826;6675.293;6610.693;6610.693;6481.494;6675.293;6416.895;6653.760;6395.361;6524.561;6223.096;6567.627;6352.295;6459.961;6330.762;6589.160;6309.229"	"6998.291;7041.357;14728.711;14879.443;14900.977;14857.910;14814.844;14728.711;14599.512;14685.645;14018.115;13716.650;12984.521;11692.529;11541.797;10766.602;10529.736;9969.873;9711.475;9366.943;8720.947;8527.148;8397.949;8311.816;8096.484;8247.217;8225.684;8311.816;8419.482;8268.750;7988.818;8311.816;8247.217;7859.619;8053.418;8204.150;7708.887;8161.084;7687.354;7795.020;7730.420;7579.688;7622.754;7601.221;7665.820;7622.754"	"13738.184;14642.578;14900.977;14922.510;14922.510;14922.510;14922.510;14900.977;14879.443;14900.977;14836.377;14771.777;14556.445;14448.779;14427.246;13824.316;13221.387;12941.455;12532.324;12123.193;11283.398;11391.064;11089.600;10615.869;10637.402;11240.332;10615.869;11154.199;10702.002;10680.469;11154.199;10529.736;10788.135;10658.936;10658.936;11154.199;10572.803;11197.266;10594.336;11089.600;11003.467;11520.264;11821.729;12123.193;12338.525;13156.787"	0.818	20	14900.977	433.262	"F"
"2"	2	"Spectrogram 1"	1	168.1107903	168.9169334	5473.684	14807.018	6912.158	0.3265	7428.955	14341.113	10335.938	"5921.631;6869.092;12747.656;13135.254;14190.381;14233.447;13867.383;13285.986;12144.727;11649.463;10960.400;10486.670;10077.539;9754.541;9302.344;8893.213;8742.480;8376.416;7967.285;7450.488;6632.227;6395.361;6718.359;6782.959;6782.959;6869.092;6589.160;7084.424;6826.025;6998.291;6933.691;6589.160;6395.361;6933.691;6782.959;6739.893;6546.094;6761.426;6761.426;6739.893;6481.494;6804.492;6589.160;6567.627"	"7601.221;13587.451;14448.779;14491.846;14685.645;14621.045;14254.980;13975.049;13285.986;12403.125;11584.863;11068.066;10680.469;10551.270;10249.805;9646.875;9646.875;9194.678;8785.547;8376.416;8031.885;7988.818;8182.617;8118.018;8268.750;8247.217;8419.482;8010.352;7881.152;8225.684;8118.018;8010.352;8247.217;7945.752;7924.219;8333.350;8268.750;7773.486;8053.418;8118.018;8053.418;7924.219;8204.150;7795.020"	"13587.451;14190.381;14621.045;14642.578;14728.711;14707.178;14707.178;14707.178;14599.512;14470.312;14147.314;13221.387;12941.455;12812.256;12661.523;11714.062;11778.662;11498.730;11003.467;10938.867;10831.201;11089.600;11175.732;11003.467;10960.400;11046.533;11132.666;10745.068;10594.336;10831.201;10314.404;10486.670;10745.068;10529.736;9969.873;10981.934;10379.004;10874.268;10572.803;10917.334;11175.732;11111.133;12058.594;12080.127"	1.27	17	14685.645	397.651	"F"
"3"	3	"Spectrogram 1"	1	171.3631607	172.0581116	5614.035	15228.07	7127.49	0.3084	7773.486	14900.977	10874.268	"5986.230;6416.895;8225.684;11347.998;13092.188;13652.051;14405.713;13673.584;12273.926;11649.463;11068.066;10529.736;10077.539;9754.541;9173.145;8850.146;8182.617;7816.553;7515.088;6416.895;6180.029;6481.494;6438.428;6546.094;6416.895;6438.428;6696.826;6524.561;6373.828;6352.295;6223.096;6373.828;6739.893;6416.895;6266.162;6309.229;6352.295;6459.961"	"7622.754;12144.727;14534.912;14577.979;14987.109;15030.176;14857.910;14211.914;13910.449;12510.791;11714.062;11089.600;10702.002;10680.469;10637.402;9797.607;9646.875;8957.812;8785.547;8354.883;8484.082;8634.814;8591.748;8699.414;8419.482;8527.148;8354.883;8505.615;8161.084;8441.016;8441.016;8333.350;8161.084;8419.482;8376.416;8591.748;8591.748;8204.150"	"13975.049;14104.248;14900.977;14922.510;15116.309;15116.309;15116.309;15094.775;15051.709;14814.844;14341.113;13931.982;13931.982;13006.055;12769.189;12467.725;12510.791;11649.463;11649.463;11520.264;11821.729;12058.594;11972.461;11326.465;11606.396;11735.596;11563.330;11541.797;11455.664;11197.266;11412.598;11175.732;11240.332;11175.732;11520.264;11735.596;12230.859;11843.262"	0.289	13	15094.775	251.648	"F"
"4"	4	"Spectrogram 1"	1	172.0859096	172.4194861	4982.456	11719.298	5361.768	0.254	5792.432	11154.199	7019.824	"5792.432;6093.896;5900.098;5641.699;5727.832;5964.697;5857.031;5857.031;5684.766;6093.896;5835.498;5900.098;5598.633;5555.566;5620.166;5727.832;5727.832;5770.898"	"7644.287;7493.555;7515.088;6416.895;6589.160;6890.625;7084.424;7062.891;6955.225;7299.756;7127.490;7041.357;7062.891;7041.357;6739.893;6976.758;6955.225;7493.555"	"10702.002;10637.402;10615.869;9043.945;8742.480;9388.477;11218.799;11283.398;11498.730;11498.730;11175.732;11347.998;11347.998;11154.199;11003.467;10637.402;11089.600;11025.000"	1.187	10	7601.221	49.855	"M"
"5"	5	"Spectrogram 1"	1	173.1978311	173.4758115	5403.509	11578.947	5211.035	0.1995	5878.564	11089.6	6933.691	"5813.965;5620.166;5770.898;5943.164;5900.098;6007.764;6136.963;6029.297;5921.631;6072.363;6072.363;5964.697;5943.164;5943.164;6223.096"	"7041.357;6309.229;6718.359;6890.625;6976.758;7019.824;6933.691;7062.891;7170.557;6955.225;7364.355;6976.758;6976.758;7385.889;6955.225"	"10766.602;8871.680;8699.414;9905.273;10895.801;11261.865;11369.531;11391.064;11326.465;11261.865;11391.064;11326.465;10529.736;11154.199;10960.400"	-0.339	5	7407.422	60.538	"M"
"6"	6	"Spectrogram 1"	1	173.4758115	174.1707624	5754.386	14666.667	6546.094	0.2902	7450.488	13996.582	10465.137	"6115.430;6136.963;6955.225;10056.006;10788.135;11068.066;12919.922;13350.586;12424.658;11606.396;10874.268;10508.203;10099.072;9776.074;9173.145;8828.613;8354.883;7945.752;7062.891;6524.561;6826.025;6869.092;6804.492;6718.359;6869.092;6912.158;6718.359;6869.092;6826.025;6847.559;6589.160;6804.492;6696.826;6955.225;6718.359;6890.625;6589.160;6546.094;6804.492"	"7019.824;7019.824;10809.668;12941.455;13975.049;14298.047;14254.980;13996.582;13695.117;12683.057;11627.930;11046.533;10852.734;10551.270;10508.203;9668.408;9216.211;8570.215;8225.684;8376.416;8505.615;8527.148;8096.484;8268.750;8419.482;8548.682;8484.082;8290.283;8354.883;8462.549;8010.352;8527.148;8247.217;8354.883;8290.283;8268.750;8441.016;8462.549;8268.750"	"12941.455;12876.855;12360.059;14168.848;14556.445;14556.445;14556.445;14534.912;14405.713;14276.514;13759.717;13307.520;12962.988;12596.924;12575.391;12080.127;11843.262;11391.064;11132.666;11111.133;11864.795;11563.330;11391.064;11132.666;11068.066;11197.266;11154.199;10723.535;11003.467;10917.334;10766.602;10831.201;10702.002;11046.533;10745.068;10680.469;10960.400;11154.199;10680.469"	2.062	13	14534.912	212.476	"F"
"7"	7	"Spectrogram 1"	1	174.3653486	174.7545212	5403.509	11578.947	5232.568	0.2721	6007.764	11240.332	6955.225	"6309.229;6180.029;5813.965;5964.697;6029.297;6115.430;6093.896;6158.496;6029.297;6007.764;6093.896;6136.963;5943.164;5964.697;5943.164;5943.164;6093.896;6050.830;6029.297;6050.830;5749.365;6223.096"	"7428.955;7105.957;6804.492;6675.293;6675.293;6976.758;6933.691;7019.824;6933.691;6869.092;6998.291;6933.691;6804.492;6890.625;6912.158;6847.559;7041.357;7364.355;7062.891;7385.889;7256.689;7385.889"	"10465.137;10185.205;9668.408;7838.086;7536.621;11218.799;11326.465;11347.998;11218.799;11240.332;11240.332;11304.932;11197.266;11261.865;11240.332;11218.799;11175.732;10981.934;10852.734;11046.533;10615.869;10163.672"	1.074	11	7407.422	30.862	"M"
"8"	8	"Spectrogram 1"	1	174.9213094	175.5884623	5543.86	14596.491	6998.291	0.3084	7019.824	14018.115	9991.406	"6201.562;6373.828;6718.359;6804.492;6955.225;11046.533;11735.596;11261.865;10615.869;10292.871;9668.408;9431.543;9151.611;8290.283;7902.686;7084.424;6739.893;6739.893;6610.693;6653.760;6718.359;6869.092;6739.893;6675.293;6782.959;6782.959;6675.293;6675.293;6524.561;6739.893;6610.693;6761.426;6718.359;6696.826;6632.227;6589.160;6546.094"	"7278.223;7041.357;7084.424;12596.924;14018.115;14018.115;13910.449;12855.322;11627.930;11391.064;10874.268;10400.537;10249.805;9862.207;9388.477;8354.883;8419.482;8118.018;8441.016;8268.750;8053.418;7988.818;8139.551;8247.217;8010.352;8010.352;8311.816;8290.283;8161.084;8031.885;8182.617;7945.752;8118.018;7859.619;7924.219;7751.953;7859.619"	"13393.652;13156.787;13415.186;14298.047;14384.180;14427.246;14405.713;14427.246;14341.113;14168.848;13695.117;13242.920;12898.389;12424.658;12252.393;11670.996;11132.666;11068.066;11649.463;11391.064;11391.064;11326.465;11197.266;11046.533;10874.268;11520.264;11111.133;10637.402;10508.203;10895.801;10723.535;11283.398;10917.334;10960.400;11003.467;11003.467;11714.062"	0.824	27	14405.713	411.895	"F"
"9"	9	"Spectrogram 1"	1	175.6440583	175.9776348	5614.035	11789.474	4931.104	0.2177	6180.029	11111.133	6890.625	"5878.564;6029.297;6093.896;6136.963;6072.363;6180.029;6503.027;6223.096;6330.762;6481.494;6416.895;6373.828;6503.027;6136.963;6352.295;6309.229;6309.229;6072.363"	"6998.291;6632.227;6632.227;6890.625;6912.158;7084.424;7062.891;7041.357;7084.424;6955.225;6976.758;6890.625;6761.426;6718.359;6933.691;7019.824;7278.223;7084.424"	"10142.139;7256.689;7213.623;10099.072;11369.531;11261.865;11498.730;11584.863;11391.064;11606.396;11391.064;11283.398;9043.945;11132.666;10486.670;11584.863;10615.869;10465.137"	4.748	7	7407.422	42.733	"M"
"10"	10	"Spectrogram 1"	1	176.4502014	177.0061621	5614.035	12561.404	4457.373	0.2902	7385.889	11843.262	10529.736	"6029.297;5986.230;6093.896;6890.625;9560.742;9969.873;10034.473;10788.135;11089.600;10852.734;10594.336;10465.137;10012.939;9625.342;9280.811;8850.146;7902.686;6955.225;6847.559;6955.225;6718.359;6890.625;6933.691;6933.691;6804.492;6826.025;6998.291;6976.758;6653.760;6761.426;6739.893"	"7041.357;7041.357;7816.553;10486.670;11541.797;11993.994;12123.193;11670.996;11606.396;11304.932;11089.600;10960.400;10788.135;10529.736;10249.805;10271.338;9733.008;9022.412;8979.346;8979.346;9000.879;8764.014;8527.148;8613.281;8764.014;8828.613;8634.814;8764.014;8441.016;8785.547;8354.883"	"11563.330;11778.662;11111.133;11735.596;12403.125;12424.658;12424.658;12403.125;12187.793;11993.994;11864.795;11757.129;11800.195;11843.262;11692.529;11584.863;11304.932;11369.531;11347.998;11025.000;11068.066;11068.066;11046.533;11025.000;11089.600;11046.533;11025.000;11218.799;10917.334;10895.801;10788.135"	1.543	18	12381.592	216.037	"F"
