"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	508.259410157	509.221156041	4491.228	13964.912	5460.938	0.4167	8156.25	13617.188	10101.562	"4710.938;4687.500;4687.500;10992.188;11906.250;12656.250;13570.312;13406.250;13078.125;12773.438;12328.125;12000.000;11648.438;11273.438;11062.500;10781.250;10664.062;10476.562;10289.062;10125.000;10031.250;9890.625;9703.125;9632.812;9445.312;9234.375;9046.875;8812.500;8765.625;8437.500;8203.125;8085.938;7312.500;6820.312;6562.500;6140.625;6000.000;6000.000;6000.000;6515.625;5976.562;6257.812;5976.562;6328.125;6281.250;6328.125;6257.812;6328.125;6304.688;6257.812;6140.625;5929.688;6351.562;5929.688;5906.250;5882.812;6093.750;5859.375"	"6304.688;5812.500;6093.750;12023.438;12679.688;13687.500;13804.688;13593.750;13476.562;13242.188;12914.062;12304.688;12046.875;11765.625;11367.188;11226.562;10898.438;10687.500;10382.812;10382.812;10101.562;10078.125;9984.375;9820.312;9585.938;9539.062;9351.562;9187.500;9000.000;8625.000;8929.688;8531.250;8367.188;7593.750;7429.688;7945.312;7500.000;7500.000;7851.562;7781.250;7992.188;7734.375;7828.125;8390.625;7898.438;8179.688;8320.312;8226.562;8109.375;8015.625;7781.250;7992.188;7968.750;7921.875;7828.125;7546.875;8109.375;8039.062"	"12187.500;12140.625;12281.250;12632.812;13500.000;13828.125;13851.562;13851.562;13828.125;13804.688;13804.688;13359.375;13078.125;12843.750;12585.938;12562.500;12257.812;11859.375;10968.750;11203.125;10734.375;10734.375;10617.188;10406.250;9960.938;10289.062;9773.438;9867.188;9703.125;9796.875;9914.062;9445.312;9679.688;9421.875;9609.375;11343.750;10406.250;10054.688;10125.000;10031.250;9843.750;9984.375;9703.125;9796.875;9656.250;9703.125;9585.938;9984.375;9796.875;9726.562;9820.312;9703.125;9679.688;9773.438;9585.938;9796.875;9796.875;9656.250"	3.602	26	13828.125	440.156	"F"
"2"	2	"Spectrogram 1"	1	512.6430018	513.5267683	4350.877	13614.035	5250	0.3667	7828.125	13078.125	10078.125	"4617.188;4617.188;6632.812;9609.375;10875.000;11625.000;12914.062;12585.938;12210.938;11742.188;11296.875;10992.188;10875.000;10664.062;10500.000;10289.062;10195.312;9914.062;9820.312;9703.125;9515.625;9375.000;9187.500;8976.562;8789.062;8671.875;8367.188;7992.188;6539.062;6351.562;6257.812;6257.812;6328.125;6234.375;6328.125;6351.562;6351.562;6210.938;6328.125;6351.562;6257.812;6281.250;6351.562;6234.375;6351.562;6421.875;6304.688;6210.938;6187.500;6210.938;6257.812;6234.375;6234.375"	"6773.438;6843.750;9632.812;11578.125;12960.938;13406.250;13195.312;13031.250;12632.812;12257.812;11765.625;11437.500;11226.562;10898.438;10757.812;10570.312;10335.938;10171.875;9937.500;9890.625;9796.875;9632.812;9492.188;9328.125;9140.625;9000.000;8929.688;8695.312;8484.375;7382.812;7078.125;7007.812;6890.625;7406.250;8390.625;7898.438;7476.562;7523.438;8039.062;7734.375;8039.062;7640.625;7945.312;8296.875;8250.000;7570.312;8039.062;7921.875;7804.688;7265.625;7523.438;7500.000;7265.625"	"12210.938;11929.688;10429.688;12632.812;13429.688;13523.438;13546.875;13523.438;13359.375;13359.375;12960.938;12796.875;12562.500;12281.250;11835.938;11882.812;11132.812;10664.062;10640.625;10453.125;10406.250;10289.062;10007.812;9960.938;9890.625;9843.750;9796.875;9539.062;9468.750;9632.812;10265.625;11156.250;9820.312;10523.438;9960.938;10148.438;9914.062;9796.875;9890.625;9984.375;9914.062;9703.125;9796.875;9656.250;9562.500;9843.750;9820.312;9750.000;9632.812;9750.000;9656.250;9750.000;9562.500"	2.136	16	13429.688	170.156	"F"
"3"	3	"Spectrogram 1"	1	514.7484455	515.6062188	4912.281	13614.035	4476.562	0.35	8320.312	12796.875	9937.5	"5085.938;5085.938;9585.938;9609.375;10640.625;11367.188;12515.625;12023.438;11671.875;11226.562;10945.312;10664.062;10500.000;10312.500;10148.438;9914.062;9820.312;9679.688;9515.625;9398.438;9187.500;9140.625;8835.938;8765.625;8531.250;8390.625;7945.312;6914.062;6726.562;6562.500;6328.125;6445.312;6492.188;6726.562;6656.250;6796.875;6679.688;6515.625;6632.812;6281.250;6632.812;6750.000;6632.812;6585.938;6656.250;6562.500;6656.250;6445.312;6585.938;6609.375;6515.625;6679.688"	"6492.188;7312.500;11390.625;11390.625;12726.562;13171.875;13195.312;12398.438;12281.250;11882.812;11132.812;10781.250;10898.438;10617.188;10382.812;10218.750;10031.250;9984.375;9750.000;9585.938;9421.875;9281.250;9234.375;8906.250;8812.500;8789.062;8578.125;8390.625;7523.438;7945.312;7617.188;8226.562;8203.125;8367.188;8015.625;8507.812;8460.938;8343.750;8343.750;8062.500;8367.188;8343.750;8484.375;8109.375;8343.750;8109.375;8484.375;8062.500;8226.562;8343.750;8367.188;8390.625"	"10687.500;10476.562;12585.938;12585.938;13335.938;13476.562;13476.562;13312.500;13265.625;13195.312;12539.062;12304.688;12398.438;11554.688;11085.938;10617.188;10851.562;10570.312;10359.375;10453.125;10031.250;9890.625;9656.250;9515.625;9539.062;9609.375;9281.250;9421.875;9398.438;9890.625;9843.750;9843.750;9679.688;9726.562;9351.562;9843.750;9679.688;9750.000;9890.625;9960.938;9585.938;9468.750;9632.812;9445.312;9632.812;9656.250;9679.688;9726.562;9820.312;9703.125;9703.125;9656.250"	3.502	20	13265.625	227.812	"F"
"4"	4	"Spectrogram 1"	1	517.217793	518.1015595	5543.86	13403.509	5414.062	0.3833	7546.875	12960.938	10007.812	"5812.500;5765.625;8929.688;9492.188;9539.062;10710.938;12234.375;12117.188;11390.625;10992.188;10828.125;10617.188;10500.000;10406.250;10218.750;10125.000;10031.250;9820.312;9703.125;9492.188;9445.312;9257.812;9164.062;9023.438;8789.062;8460.938;8179.688;8015.625;6750.000;6398.438;6304.688;6234.375;6375.000;6304.688;6375.000;6468.750;6351.562;6257.812;6398.438;6257.812;6304.688;6351.562;6351.562;6304.688;6375.000;6281.250;6281.250;6304.688;6234.375;6234.375;6304.688;6304.688;6187.500"	"6914.062;7148.438;9562.500;11390.625;11414.062;12937.500;13101.562;12468.750;12328.125;11507.812;11132.812;10757.812;10687.500;10546.875;10406.250;10359.375;10148.438;10265.625;9820.312;9867.188;9773.438;9468.750;9304.688;9234.375;9140.625;9070.312;8765.625;8320.312;8132.812;7851.562;7335.938;6703.125;7757.812;7851.562;8015.625;7945.312;8062.500;8156.250;8039.062;7453.125;7734.375;7757.812;8132.812;8039.062;8085.938;8109.375;7781.250;7945.312;7992.188;7898.438;7804.688;7640.625;7734.375"	"12328.125;12398.438;10523.438;12750.000;12750.000;13265.625;13265.625;13242.188;13218.750;13242.188;12515.625;12164.062;11718.750;11203.125;11132.812;10757.812;10640.625;10640.625;10593.750;10335.938;10312.500;10078.125;9796.875;9796.875;9796.875;9585.938;9468.750;9562.500;9210.938;9328.125;9585.938;9656.250;9750.000;10218.750;9796.875;9867.188;9632.812;9726.562;9585.938;9750.000;9820.312;9609.375;9679.688;9960.938;9656.250;9726.562;9585.938;9539.062;9820.312;9515.625;9703.125;9609.375;9609.375"	-0.46	25	13242.188	160.312	"F"
"5"	5	"Spectrogram 1"	1	518.4998344	518.8377451	6947.368	12491.228	4546.875	0.1	7781.25	12328.125	11812.5	"7218.750;7429.688;7570.312;7570.312;8156.250;7828.125;8085.938;7992.188;7851.562;7992.188;7640.625;7007.812;6984.375;7031.250;6960.938;7078.125;7312.500;7476.562;7171.875;7242.188;6960.938"	"8742.188;7851.562;8484.375;8507.812;12023.438;11859.375;11906.250;11929.688;11953.125;12117.188;10875.000;10804.688;11765.625;10757.812;10804.688;8554.688;8953.125;9773.438;9023.438;9117.188;8203.125"	"12093.750;9421.875;11929.688;11929.688;12328.125;12328.125;12375.000;12351.562;12398.438;12351.562;12375.000;12375.000;12351.562;12234.375;12304.688;12304.688;12281.250;12304.688;12281.250;12117.188;11953.125"	-1.336	11	12375	320.625	"M"
"6"	6	"Spectrogram 1"	1	519.2712504	520.0510444	5122.807	13333.333	4828.125	0.35	7523.438	12351.562	9750	"5437.500;5390.625;9210.938;10242.188;11296.875;11742.188;11296.875;10898.438;10687.500;10546.875;10382.812;10218.750;10054.688;9890.625;9726.562;9585.938;9445.312;9398.438;9210.938;9046.875;8835.938;8742.188;8390.625;8296.875;8039.062;7265.625;6375.000;6304.688;6187.500;6304.688;6164.062;6164.062;6328.125;6257.812;6117.188;6140.625;6164.062;6164.062;6093.750;6093.750;6046.875;6140.625;5906.250;5976.562;5929.688;5812.500;5835.938"	"7546.875;8835.938;10710.938;12351.562;13031.250;12562.500;11812.500;11367.188;11156.250;10640.625;10617.188;10453.125;10289.062;10125.000;9843.750;9773.438;9703.125;9539.062;9351.562;9257.812;9187.500;9000.000;8812.500;8695.312;8414.062;8250.000;7921.875;6984.375;6726.562;7804.688;7710.938;7406.250;7945.312;7757.812;7734.375;7851.562;7687.500;7523.438;7875.000;7734.375;7664.062;8109.375;7781.250;7898.438;7359.375;6796.875;7054.688"	"12445.312;12421.875;11859.375;13148.438;13195.312;13125.000;12960.938;12632.812;12164.062;12000.000;11226.562;11367.188;10945.312;10875.000;10593.750;10476.562;10312.500;10007.812;9867.188;9820.312;9468.750;9562.500;9656.250;9328.125;9421.875;9468.750;9140.625;9445.312;10078.125;10359.375;10078.125;10007.812;9656.250;9562.500;9679.688;9820.312;9585.938;9656.250;9679.688;9609.375;9515.625;9421.875;9750.000;9703.125;9515.625;9375.000;9257.812"	-1.223	25	13101.562	271.406	"F"
"7"	7	"Spectrogram 1"	1	520.8392162	521.0731544	7578.947	12561.404	4570.312	0.1	7828.125	12398.438	11742.188	"7640.625;7664.062;7710.938;8132.812;8414.062;8296.875;7804.688;7968.750;7804.688;7851.562;7687.500;7851.562;7968.750;7687.500"	"8109.375;8460.938;11062.500;11789.062;11906.250;12304.688;11742.188;11859.375;11507.812;12093.750;11109.375;11109.375;11835.938;11437.500"	"11601.562;11367.188;12351.562;12398.438;12398.438;12421.875;12398.438;12351.562;12398.438;12375.000;12351.562;12328.125;12328.125;12375.000"	19.796	7	12398.438	278.438	"M"
"8"	8	"Spectrogram 1"	1	521.1427559	522.0005293	4771.93	13192.982	3820.312	0.3333	8156.25	11976.562	10007.812	"4921.875;4898.438;8859.375;9796.875;9890.625;11718.750;11273.438;11109.375;10617.188;10476.562;10289.062;10218.750;10125.000;9960.938;9890.625;9773.438;9726.562;9539.062;9375.000;9187.500;8929.688;8789.062;8718.750;8531.250;8296.875;7078.125;6375.000;6234.375;6257.812;6000.000;6187.500;6375.000;6257.812;6210.938;6304.688;6398.438;6445.312;6281.250;6445.312;6281.250;6304.688;6164.062;6164.062;6281.250;6257.812;6257.812;6304.688;6210.938;6328.125;6257.812;6445.312;5976.562"	"6656.250;6656.250;9445.312;11296.875;12328.125;12820.312;11882.812;11671.875;10992.188;10921.875;10453.125;10359.375;10218.750;10101.562;10031.250;9960.938;9914.062;9726.562;9609.375;9515.625;9257.812;9000.000;8859.375;8882.812;8648.438;8390.625;8062.500;7546.875;7781.250;7195.312;7640.625;7968.750;7992.188;8320.312;7687.500;7593.750;8484.375;8039.062;8414.062;8390.625;8367.188;7804.688;8343.750;8484.375;8226.562;8367.188;7593.750;7757.812;7476.562;7875.000;7312.500;8132.812"	"12210.938;12187.500;10500.000;12492.188;13031.250;13031.250;13031.250;12890.625;12445.312;11695.312;11414.062;10898.438;10546.875;10593.750;10453.125;10242.188;10476.562;10148.438;10125.000;9890.625;10171.875;9703.125;9773.438;9632.812;9515.625;9515.625;9375.000;9609.375;11484.375;10570.312;10031.250;9796.875;9984.375;9843.750;9820.312;9726.562;9796.875;9703.125;9843.750;9843.750;9796.875;9656.250;9750.000;9468.750;9632.812;9632.812;9492.188;9609.375;9656.250;9445.312;9375.000;9585.938"	4.77	30	13007.812	260.156	"F"
"9"	9	"Spectrogram 1"	1	522.6067492	522.8926737	6596.491	12701.754	5085.938	0.1	7546.875	12632.812	12000	"6632.812;6703.125;6656.250;6656.250;7054.688;7476.562;8132.812;7757.812;7710.938;7476.562;7570.312;7617.188;7406.250;7382.812;7242.188;7007.812;7031.250"	"7687.500;7429.688;7054.688;7054.688;8015.625;10078.125;12234.375;11906.250;12234.375;11976.562;12351.562;12046.875;10898.438;10664.062;9796.875;9445.312;9046.875"	"11906.250;11648.438;11484.375;11460.938;9328.125;12492.188;12609.375;12632.812;12656.250;12632.812;12656.250;12609.375;12632.812;12632.812;12609.375;12539.062;12609.375"	20.83	5	12656.25	254.531	"M"
"10"	10	"Spectrogram 1"	1	522.9362821	523.7420691	5052.632	13263.158	3468.75	0.3167	8250	11718.75	10007.812	"6046.875;8718.750;9257.812;9796.875;11531.250;11062.500;10757.812;10617.188;10500.000;10359.375;10242.188;10171.875;10125.000;9984.375;9890.625;9750.000;9562.500;9445.312;9257.812;9187.500;8859.375;8742.188;8414.062;8039.062;7171.875;6562.500;6351.562;6281.250;6281.250;6234.375;6492.188;6398.438;6398.438;6468.750;6398.438;6585.938;6468.750;6445.312;6515.625;6539.062;6398.438;6375.000;6328.125;6445.312;6304.688;6515.625;6398.438;6421.875"	"7992.188;9046.875;10757.812;12398.438;12328.125;12187.500;11507.812;10875.000;10781.250;10453.125;10406.250;10265.625;10265.625;10148.438;10031.250;9937.500;9890.625;9726.562;9492.188;9257.812;9210.938;9000.000;8953.125;8648.438;8320.312;7851.562;7312.500;7781.250;7289.062;7804.688;7968.750;7992.188;8203.125;7875.000;7781.250;8156.250;8156.250;7968.750;8343.750;8179.688;7945.312;8273.438;8179.688;8156.250;8250.000;7898.438;7921.875;7921.875"	"12585.938;10148.438;12468.750;12937.500;12984.375;12984.375;12867.188;12093.750;11835.938;11203.125;10687.500;10546.875;10664.062;10382.812;10312.500;10078.125;10335.938;10335.938;10078.125;9914.062;9937.500;9656.250;9656.250;9890.625;9492.188;9351.562;9750.000;9773.438;9796.875;9937.500;9867.188;9914.062;9796.875;9960.938;10007.812;9867.188;9843.750;9750.000;9914.062;9820.312;9890.625;9726.562;9773.438;9796.875;9820.312;9890.625;9609.375;9796.875"	0.957	17	12937.5	180	"F"
