"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	443.787903	444.4400176	5208.791	13714.286	4457.373	0.2721	9022.412	13479.785	11670.996	"6503.027;6739.893;12919.922;13049.121;13006.055;13393.652;12747.656;12510.791;12037.061;11929.395;11649.463;11498.730;11154.199;10788.135;10422.070;10120.605;9711.475;9280.811;8828.613;8484.082;8074.951;6416.895;6890.625;6847.559;7321.289;7342.822;7084.424;7041.357;6782.959;6696.826;6675.293;6567.627;6675.293;6546.094;6589.160;6610.693"	"6761.426;12962.988;13458.252;13479.785;13479.785;13479.785;13199.854;12618.457;12230.859;12187.793;11929.395;11714.062;11541.797;11261.865;10658.936;10379.004;10422.070;9776.074;9517.676;9108.545;9108.545;9087.012;9754.541;9819.141;9862.207;9646.875;9517.676;9345.410;9496.143;8764.014;6869.092;8828.613;8699.414;8527.148;9000.879;6976.758"	"7342.822;13242.920;13565.918;13565.918;13673.584;13608.984;13608.984;13221.387;13587.451;13307.520;12596.924;12553.857;12381.592;12187.793;11886.328;11864.795;11735.596;11563.330;11541.797;11175.732;11391.064;11670.996;11714.062;11563.330;11369.531;11498.730;11714.062;11692.529;11649.463;11649.463;11455.664;11477.197;11154.199;11498.730;11606.396;11111.133"	0.305	16	13652.051	343.048	"F"
"2"	2	"Spectrogram 1"	1	444.5124748	444.8023035	4813.187	11802.198	6223.096	0.254	5318.701	11541.797	6976.758	"6567.627;6589.160;5167.969;5146.436;5189.502;5189.502;5426.367;6050.830;5275.635;5813.965;5361.768;5404.834;5361.768;5577.100;6395.361;6610.693"	"6761.426;6826.025;6761.426;6782.959;6955.225;7084.424;7472.021;7493.555;6933.691;7299.756;7472.021;6976.758;7342.822;7062.891;6826.025;6739.893"	"10120.605;10056.006;9948.340;7816.553;9819.141;10637.402;11606.396;11584.863;11541.797;11541.797;11477.197;11455.664;11563.330;11326.465;11046.533;7299.756"	0.158	7	11563.33	227.907	"M"
"3"	3	"Spectrogram 1"	1	445.1645894	445.7442468	5802.198	13516.484	4198.975	0.254	8914.746	13113.721	11218.799	"6610.693;6589.160;6718.359;6739.893;12360.059;12467.725;12123.193;11606.396;11391.064;11218.799;11175.732;11068.066;10680.469;10443.604;10206.738;9754.541;9388.477;8720.947;8118.018;6395.361;6998.291;7256.689;6826.025;6610.693;6739.893;6696.826;6675.293;6653.760;6589.160;6718.359;6567.627;6632.227"	"6847.559;6826.025;12596.924;13070.654;13264.453;13049.121;12769.189;12230.859;11950.928;11627.930;11563.330;11218.799;11089.600;11003.467;10508.203;10400.537;9926.807;9711.475;9560.742;9668.408;9646.875;9582.275;9711.475;9883.740;10228.271;9560.742;8397.949;9410.010;9474.609;10077.539;9130.078;9302.344"	"7170.557;12080.127;13135.254;13350.586;13350.586;13329.053;13178.320;13178.320;13070.654;13006.055;12919.922;12295.459;12123.193;11950.928;11455.664;11757.129;11369.531;11025.000;11175.732;11283.398;11455.664;11197.266;11391.064;11304.932;11347.998;11477.197;11218.799;11261.865;11154.199;11369.531;11369.531;11197.266"	5.208	8	13329.053	325.243	"F"
"4"	4	"Spectrogram 1"	1	445.1887418	445.4785705	4681.319	11670.33	2368.652	0.1451	9194.678	11563.33	10831.201	"6632.227;5211.035;5167.969;5254.102;5361.768;6976.758;11304.932;11154.199;11132.666;11003.467;10680.469;10422.070;10206.738;9733.008;9388.477;8720.947"	"6739.893;6739.893;6761.426;7149.023;7321.289;11584.863;11563.330;11412.598;11304.932;11218.799;11068.066;10852.734;10486.670;10379.004;9926.807;9689.941"	"6998.291;6998.291;7773.486;11154.199;11434.131;11649.463;11627.930;11606.396;11584.863;11455.664;11369.531;11434.131;11283.398;11391.064;11175.732;10831.201"	10.841	4	11606.396	268.266	"M"
"5"	5	"Spectrogram 1"	1	445.816704	446.1306851	4747.253	12065.934	6395.361	0.2358	5426.367	11821.729	7213.623	"6093.896;5146.436;5124.902;5383.301;5383.301;6567.627;5361.768;6158.496;6093.896;6503.027;6395.361;6416.895;6524.561;5684.766;5792.432;6072.363;6610.693"	"6761.426;6696.826;6373.828;7385.889;7644.287;7795.020;7751.953;7601.221;7730.420;6804.492;6804.492;6847.559;6847.559;6847.559;6912.158;6869.092;6739.893"	"10357.471;9883.740;9431.543;10637.402;11907.861;11886.328;11821.729;11886.328;11907.861;11477.197;11735.596;11735.596;11197.266;11498.730;11347.998;11369.531;7536.621"	0	10	11907.861	275.388	"M"
"6"	6	"Spectrogram 1"	1	446.4205138	446.7586473	4747.253	12000	1851.855	0.1451	9883.74	11735.596	10917.334	"6546.094;5167.969;5167.969;5361.768;5598.633;6481.494;6503.027;6416.895;6718.359;11541.797;11541.797;11261.865;11132.666;10874.268;10723.535;10443.604;10163.672;9797.607;9668.408"	"6782.959;6761.426;6847.559;7192.090;7407.422;7450.488;7149.023;6869.092;11757.129;11692.529;11692.529;11369.531;11261.865;11111.133;10895.801;10702.002;10615.869;10228.271;10163.672"	"6998.291;7041.357;8204.150;11498.730;11778.662;11843.262;11843.262;11778.662;11993.994;11950.928;11907.861;11907.861;11757.129;11864.795;11455.664;11261.865;11326.465;11197.266;11218.799"	9.628	4	11972.461	288.445	"M"
"7"	7	"Spectrogram 1"	1	446.492971	447.0967808	5670.33	13120.879	3703.711	0.2358	8677.881	12381.592	10874.268	"6503.027;6632.227;6739.893;6782.959;11692.529;11563.330;11563.330;11261.865;11132.666;10874.268;10723.535;10443.604;10163.672;9797.607;9668.408;9280.811;8893.213;8484.082;7127.490;6395.361;6761.426;6782.959;6826.025;6955.225;6395.361;6675.293;6610.693;6503.027;6675.293;6567.627;6546.094;6546.094;6567.627;6589.160"	"7450.488;8053.418;12596.924;12726.123;12618.457;12015.527;11800.195;11455.664;11283.398;11111.133;10917.334;10702.002;10637.402;10228.271;10163.672;9819.141;9302.344;9065.479;8979.346;9000.879;9173.145;9280.811;9539.209;9345.410;9259.277;9194.678;8742.480;8290.283;8914.746;9065.479;9000.879;8957.812;8893.213;6976.758"	"11800.195;12596.924;13027.588;13027.588;13006.055;12984.521;12962.988;12898.389;12058.594;11993.994;11477.197;11412.598;11498.730;11218.799;11240.332;10981.934;10831.201;10551.270;10895.801;11132.666;11089.600;10917.334;11132.666;11089.600;11111.133;10960.400;10788.135;10852.734;11025.000;11111.133;10852.734;10981.934;10917.334;10508.203"	-8.345	16	12941.455	339.487	"F"
"8"	8	"Spectrogram 1"	1	447.0726284	447.3866095	4879.121	12395.604	6287.695	0.2177	5878.564	12166.26	7622.754	"6567.627;5490.967;5275.635;5490.967;5663.232;6309.229;6395.361;5921.631;5921.631;6610.693;6459.961;5986.230;5857.031;6158.496;5878.564;6589.160;6438.428;6395.361"	"8419.482;6826.025;6761.426;7192.090;7708.887;11197.266;8182.617;7795.020;7493.555;6955.225;7084.424;6998.291;7278.223;7730.420;6955.225;6890.625;6847.559;6826.025"	"10874.268;10465.137;10120.605;9991.406;11950.928;12187.793;12187.793;12187.793;12187.793;12037.061;11886.328;12166.260;11692.529;12187.793;11993.994;12080.127;11735.596;10702.002"	0.07	6	12187.793	259.957	"M"
"9"	9	"Spectrogram 1"	1	447.5315239	448.0628765	5802.198	12857.143	3208.447	0.2358	8613.281	11821.729	10594.336	"6847.559;11886.328;11627.930;11627.930;11240.332;10981.934;10852.734;10572.803;10443.604;10249.805;9840.674;9646.875;9474.609;9043.945;8548.682;8182.617;6653.760;6696.826;6804.492;6524.561;6782.959;6912.158;6459.961;6718.359;6632.227;6632.227;6761.426;6503.027;6632.227"	"12553.857;12575.391;12230.859;12080.127;11627.930;11218.799;10917.334;10723.535;10615.869;10486.670;10314.404;10163.672;10120.605;9711.475;9151.611;8936.279;8785.547;9130.078;9237.744;9345.410;9345.410;9453.076;9108.545;9237.744;9130.078;9345.410;9431.543;9216.211;8720.947"	"12790.723;12812.256;12769.189;12769.189;12489.258;12403.125;11606.396;11412.598;11283.398;11218.799;11111.133;11111.133;10895.801;10809.668;10508.203;10874.268;10895.801;11025.000;10917.334;10852.734;10852.734;10702.002;10917.334;10981.934;10637.402;10809.668;11025.000;10745.068;10702.002"	-11.489	11	12596.924	141.255	"F"
"10"	10	"Spectrogram 1"	1	447.7005906	448.0145717	4813.187	12000	2928.516	0.1633	8118.018	11046.533	9991.406	"9883.740;9689.941;9517.676;9108.545;8591.748;8419.482;7708.887;6632.227;6610.693;6589.160;6459.961;6589.160;6804.492;6438.428;6696.826;6632.227;6610.693"	"10422.070;10249.805;10163.672;9883.740;9410.010;9130.078;8871.680;8957.812;9130.078;9237.744;9323.877;9345.410;9431.543;9108.545;9237.744;9108.545;9345.410"	"11111.133;11089.600;11068.066;10852.734;10658.936;10594.336;10874.268;10917.334;11003.467;10895.801;10809.668;10809.668;10658.936;10831.201;10960.400;10637.402;10766.602"	-3.338	8	10357.471	141.255	"M"
