"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	27.750612387	28.334795393	4835.526	12636.842	4285.107	0.2358	7192.09	11477.197	10163.672	"5404.834;5383.301;8290.283;11778.662;11369.531;10981.934;10788.135;10766.602;10788.135;10680.469;9797.607;9000.879;7730.420;7084.424;6804.492;6869.092;6912.158;6890.625;6955.225;6804.492;6912.158;6847.559;6782.959;6869.092;6761.426;6675.293;6610.693;6804.492;6804.492;6459.961;6503.027;6309.229"	"8311.816;9022.412;12187.793;12424.658;11649.463;11434.131;11283.398;10831.201;10917.334;10917.334;10831.201;10228.271;9194.678;9043.945;8742.480;8957.812;8850.146;8828.613;8677.881;8634.814;8570.215;8742.480;8570.215;8871.680;8419.482;8139.551;8462.549;8053.418;8139.551;8182.617;8548.682;8333.350"	"11735.596;11757.129;12489.258;12489.258;12360.059;12424.658;12424.658;11391.064;11692.529;11240.332;11197.266;11154.199;11068.066;11046.533;11046.533;10960.400;11025.000;11132.666;10981.934;11154.199;11089.600;11175.732;11025.000;11132.666;10917.334;11046.533;10766.602;10788.135;10938.867;10895.801;10960.400;11003.467"	1.034	11	12446.191	249.274	"F"
"2"	2	"Spectrogram 1"	1	28.905069279	29.489252284	5544.737	12507.895	4048.242	0.2177	7149.023	11197.266	9883.74	"5900.098;6050.830;6589.160;8936.279;9776.074;10077.539;10788.135;10594.336;10271.338;10034.473;9431.543;8677.881;7795.020;7342.822;6912.158;6761.426;6696.826;6976.758;6632.227;6675.293;6675.293;6524.561;6696.826;6610.693;6632.227;6524.561;6567.627;6653.760;6718.359;6696.826;6696.826;6567.627"	"6869.092;7881.152;9776.074;11477.197;11843.262;11864.795;11132.666;10723.535;10702.002;10400.537;10034.473;9948.340;9237.744;8914.746;8397.949;8699.414;8527.148;8247.217;8225.684;8290.283;8376.416;8161.084;8204.150;8161.084;8053.418;8161.084;8118.018;7859.619;7859.619;8247.217;8161.084;7859.619"	"11455.664;11132.666;11326.465;12295.459;12316.992;12316.992;11993.994;11864.795;11714.062;11111.133;10831.201;10895.801;10615.869;10271.338;10249.805;10292.871;10400.537;10335.938;10335.938;10422.070;10422.070;10486.670;10508.203;10206.738;10400.537;10486.670;10292.871;10508.203;10228.271;10508.203;10120.605;10615.869"	1.225	17	12166.26	159.06	"F"
"3"	3	"Spectrogram 1"	1	30.643331958	31.171878487	5544.737	12314.474	3380.713	0.2177	7213.623	10594.336	9646.875	"10443.604;10572.803;10572.803;10249.805;10056.006;9991.406;9754.541;9453.076;8656.348;8161.084;7342.822;7213.623;6804.492;6761.426;6739.893;6718.359;6718.359;6718.359;6632.227;6632.227;6653.760;6739.893;6653.760;6675.293;6653.760;6653.760;6696.826;6589.160;6438.428"	"11843.262;11347.998;11304.932;10551.270;10185.205;10185.205;9905.273;9840.674;9819.141;9173.145;8634.814;8591.748;8204.150;8139.551;8010.352;7945.752;7902.686;8311.816;7902.686;7859.619;8053.418;7881.152;8118.018;7622.754;7364.355;7536.621;7579.688;7342.822;7751.953"	"12187.793;12144.727;12144.727;11757.129;11347.998;10895.801;10551.270;10314.404;10185.205;10077.539;10120.605;10034.473;9991.406;9969.873;9819.141;9883.740;9991.406;9991.406;10056.006;10012.939;9969.873;9926.807;9991.406;10012.939;9883.740;9819.141;9926.807;9840.674;9819.141"	-10.344	15	12123.193	59.351	"F"
"4"	4	"Spectrogram 1"	1	31.700802232	32.06243933	4319.737	11411.842	5555.566	0.2721	4780.371	10335.938	6955.225	"4478.906;4521.973;4651.172;4672.705;4823.438;4758.838;4888.037;4866.504;4909.570;4844.971;4801.904;4866.504;4780.371;5038.770;4608.105;4758.838;4694.238;4823.438;4780.371"	"6890.625;7342.822;7235.156;6223.096;6782.959;6933.691;7127.490;7062.891;7041.357;7170.557;6826.025;6955.225;7084.424;7235.156;7105.957;7213.623;7062.891;7192.090;6912.158"	"10443.604;10809.668;10895.801;8957.812;9237.744;10335.938;10529.736;10529.736;10852.734;10228.271;10314.404;10357.471;10443.604;10508.203;10357.471;10271.338;10034.473;10529.736;10335.938"	0.33	9	7838.086	119.889	"M"
"5"	5	"Spectrogram 1"	1	32.395880974	33.007882217	5286.842	11927.632	3208.447	0.2177	7407.422	10615.869	10120.605	"5770.898;5986.230;9302.344;9862.207;10422.070;10292.871;10142.139;10120.605;10099.072;10056.006;9517.676;9108.545;8225.684;7213.623;6933.691;6761.426;6718.359;6567.627;6610.693;6675.293;6761.426;6610.693;6546.094;6675.293;6524.561;6696.826;6653.760;6696.826;6567.627;6675.293;6675.293;6718.359;6309.229"	"8247.217;8656.348;10594.336;11261.865;10917.334;10400.537;10185.205;10142.139;10120.605;10185.205;10120.605;9711.475;9410.010;8462.549;8764.014;8462.549;8333.350;8419.482;8441.016;8441.016;8139.551;8505.615;8204.150;8591.748;8354.883;8354.883;7902.686;8419.482;8139.551;7665.820;9108.545;8764.014;8290.283"	"11261.865;11175.732;11347.998;11649.463;11627.930;11455.664;10809.668;10508.203;10874.268;10357.471;10206.738;10185.205;10142.139;10185.205;10185.205;10206.738;10185.205;10228.271;10163.672;9905.273;10163.672;10185.205;10120.605;10185.205;10120.605;10099.072;10142.139;10185.205;10142.139;10185.205;10185.205;10185.205;10206.738"	2.522	17	11283.398	191.11	"F"
"6"	6	"Spectrogram 1"	1	33.758974653	34.426612373	5609.211	10380.263	2734.717	0.2358	7407.422	10142.139	9668.408	"5986.230;6007.764;5792.432;8957.812;9625.342;9646.875;9625.342;9625.342;9646.875;9689.941;9668.408;9065.479;8871.680;8354.883;7816.553;6998.291;6826.025;6998.291;6739.893;6804.492;6675.293;6761.426;6610.693;6761.426;6524.561;6718.359;6739.893;6653.760;6546.094;6546.094;6438.428;6223.096;6330.762;6136.963;6136.963;6136.963"	"7192.090;7256.689;7235.156;9776.074;9926.807;9689.941;9668.408;9733.008;9733.008;9819.141;9862.207;9797.607;9840.674;9022.412;8850.146;8785.547;8247.217;8268.750;8376.416;8161.084;8397.949;8441.016;8204.150;8333.350;8010.352;8096.484;8247.217;8204.150;7622.754;7945.752;8139.551;7730.420;8074.951;8118.018;8053.418;8010.352"	"9754.541;9926.807;10077.539;10163.672;10185.205;10077.539;9883.740;9797.607;9926.807;10034.473;10249.805;10271.338;10249.805;10185.205;10099.072;9991.406;9905.273;9819.141;10206.738;10012.939;10099.072;9797.607;10056.006;10099.072;10034.473;9969.873;9862.207;9862.207;9776.074;9840.674;9926.807;9948.340;9776.074;10056.006;9905.273;9969.873"	-0.543	27	10120.605	197.045	"F"
"7"	7	"Spectrogram 1"	1	34.81606771	35.428068953	5931.579	10638.158	2411.719	0.2177	7084.424	9496.143	8979.346	"6524.561;9646.875;9366.943;9280.811;9280.811;9259.277;9280.811;9259.277;8850.146;8656.348;7988.818;7665.820;7213.623;6761.426;6739.893;6589.160;6653.760;6653.760;6632.227;6416.895;6589.160;6546.094;6546.094;6546.094;6567.627;6610.693;6653.760;6589.160;6546.094;6481.494;6459.961;6632.227"	"9453.076;10249.805;9496.143;9431.543;9345.410;9388.477;9345.410;9431.543;9345.410;9280.811;8764.014;8634.814;8268.750;8074.951;8031.885;8053.418;7730.420;7902.686;7838.086;7579.688;7967.285;7945.752;7881.152;8139.551;7859.619;7515.088;7687.354;7945.752;7665.820;7708.887;7773.486;8397.949"	"10185.205;10400.537;10379.004;10357.471;10056.006;9711.475;9474.609;9496.143;9496.143;9496.143;9474.609;9496.143;9474.609;9474.609;9431.543;9474.609;9453.076;9431.543;9453.076;9496.143;9453.076;9453.076;9474.609;9474.609;9474.609;9366.943;9410.010;9474.609;9474.609;9474.609;9474.609;9840.674"	-2.221	17	10357.471	144.816	"F"
"8"	8	"Spectrogram 1"	1	35.511900884	35.873537983	4384.211	11540.789	5383.301	0.2721	4995.703	10379.004	6869.092	"5211.035;4995.703;4844.971;5017.236;5081.836;4952.637;5103.369;5254.102;4823.438;4974.170;5124.902;5254.102;4844.971;5017.236;4931.104;4952.637;4974.170;4974.170;4995.703"	"7342.822;7192.090;5447.900;6847.559;6804.492;7062.891;6847.559;7192.090;7084.424;6826.025;6933.691;7235.156;6890.625;6890.625;6826.025;7084.424;7084.424;7278.223;7041.357"	"10163.672;10034.473;8957.812;9431.543;10831.201;10745.068;10465.137;10228.271;10572.803;10077.539;10960.400;10529.736;10357.471;10658.936;10852.734;10723.535;10637.402;10852.734;10615.869"	0.066	12	7342.822	77.156	"M"
"9"	9	"Spectrogram 1"	1	36.095706673	36.707707917	5673.684	10315.789	2627.051	0.254	7105.957	9733.008	9496.143	"6266.162;9323.877;9496.143;9453.076;9474.609;9496.143;9474.609;9474.609;9496.143;8979.346;8570.215;8053.418;7472.021;7149.023;6869.092;6782.959;6675.293;6610.693;6610.693;6567.627;6567.627;6589.160;6589.160;6546.094;6632.227;6589.160;6610.693;6567.627;6675.293;6524.561;6524.561;6546.094;6675.293"	"9323.877;10034.473;9819.141;9668.408;9560.742;9539.209;9517.676;9625.342;9689.941;9582.275;9345.410;8871.680;8548.682;8354.883;8225.684;8182.617;8031.885;7988.818;7945.752;7579.688;7751.953;7751.953;8096.484;7472.021;7902.686;7838.086;7795.020;8096.484;8074.951;8268.750;8204.150;8204.150;7902.686"	"10099.072;10185.205;10163.672;10120.605;9883.740;9797.607;9668.408;9689.941;9733.008;9733.008;9668.408;9711.475;9689.941;9689.941;9689.941;9689.941;9646.875;9517.676;9689.941;9646.875;9603.809;9625.342;9388.477;9388.477;9668.408;9646.875;9711.475;9711.475;9689.941;9625.342;9668.408;9625.342;9582.275"	-3.932	22	10099.072	147.19	"F"
"10"	10	"Spectrogram 1"	1	36.791539848	37.180995185	4706.579	11540.789	5404.834	0.254	5146.436	10551.27	7019.824	"5426.367;5060.303;5038.770;5103.369;5232.568;5254.102;5275.635;5146.436;5254.102;5447.900;5275.635;5469.434;5232.568;5167.969;5167.969;4952.637;5103.369;5038.770;5103.369;5189.502"	"7622.754;5598.633;6696.826;6782.959;7364.355;6933.691;7450.488;7213.623;7170.557;7084.424;6976.758;7213.623;7256.689;7278.223;7105.957;7385.889;6912.158;7105.957;7084.424;6653.760"	"10228.271;9582.275;8333.350;10077.539;10960.400;11197.266;10529.736;10292.871;10249.805;11175.732;10852.734;10357.471;10228.271;10335.938;10960.400;10702.002;10572.803;10443.604;11068.066;10680.469"	-1.687	10	7515.088	71.221	"M"
"11"	11	"Spectrogram 1"	1	37.264072684	37.903892165	5544.737	9928.947	2713.184	0.254	7105.957	9819.141	8979.346	"5878.564;6955.225;9065.479;9065.479;9065.479;9087.012;9087.012;9087.012;9130.078;8677.881;8634.814;7881.152;7601.221;7515.088;6847.559;6718.359;6610.693;6481.494;6589.160;6416.895;6503.027;6610.693;6589.160;6524.561;6524.561;6481.494;6416.895;6481.494;6352.295;6653.760;6438.428;6481.494;6416.895;6567.627"	"7192.090;9366.943;9323.877;9108.545;9130.078;9130.078;9130.078;9237.744;9646.875;9776.074;9496.143;9259.277;8613.281;8441.016;7816.553;7622.754;7644.287;7579.688;7708.887;7536.621;7536.621;7536.621;7601.221;7385.889;7558.154;7579.688;7536.621;7127.490;7838.086;7967.285;7450.488;8139.551;7730.420;7579.688"	"9388.477;9517.676;9496.143;9496.143;9388.477;9237.744;9474.609;9711.475;9819.141;9819.141;9819.141;9819.141;9754.541;9130.078;9797.607;9797.607;9776.074;9388.477;9237.744;9237.744;9302.344;9366.943;9065.479;9496.143;9259.277;9797.607;9323.877;9323.877;9754.541;9582.275;9603.809;9366.943;9582.275;9388.477"	3.201	20	9797.607	151.938	"F"
"12"	12	"Spectrogram 1"	1	38.071178812	38.404997672	4642.105	11734.211	2325.586	0.1633	7170.557	9496.143	8527.148	"5124.902;4974.170;5124.902;5340.234;5361.768;5943.164;6739.893;8548.682;8548.682;8570.215;8591.748;8677.881;8225.684;8247.217;8225.684;7278.223;7127.490;7041.357"	"7450.488;6890.625;6115.430;6933.691;6998.291;8656.348;8591.748;8613.281;8656.348;8613.281;8828.613;9087.012;8893.213;9087.012;8333.350;8311.816;8268.750;8010.352"	"11068.066;10960.400;8548.682;8828.613;10357.471;9668.408;8936.279;8699.414;8785.547;8893.213;9302.344;9496.143;9517.676;9517.676;9560.742;9496.143;9280.811;8957.812"	-1.466	10	9130.078	122.263	"M"
