"Selection"	"View"	"Channel"	"Begin.Time..s."	"End.Time..s."	"Low.Freq..Hz."	"High.Freq..Hz."	"BW.90...Hz."	"Dur.90...s."	"Freq.5...Hz."	"Freq.95...Hz."	"Center.Freq..Hz."	"Freq.Contour..5...Hz."	"Freq.Contour.50...Hz."	"Freq.Contour.95...Hz."	"PFC.Avg.Slope..Hz.ms."	"PFC.Num.Inf.Pts"	"PFC.Max.Freq..Hz."	"PFC.Max.Slope..Hz.ms."	"Sex"
"1"	1	"Spectrogram 1"	1	2748.860490572	2749.479637335	6125	12185.526	3143.848	0.2721	6847.559	9991.406	9151.611	"6158.496;6180.029;6180.029;6352.295;6589.160;8204.150;9431.543;9388.477;9216.211;8871.680;8204.150;7450.488;7170.557;6955.225;6869.092;6826.025;6782.959;6782.959;6675.293;6653.760;6589.160;6546.094;6567.627;6459.961;6459.961;6524.561;6546.094;6416.895;6395.361;6373.828;6373.828;6524.561;6438.428;6330.762"	"7773.486;7364.355;7062.891;10314.404;10077.539;9991.406;9625.342;9496.143;9474.609;9453.076;9431.543;9302.344;9151.611;9022.412;8333.350;8010.352;7278.223;7321.289;7558.154;7235.156;7235.156;7515.088;7407.422;7213.623;7062.891;7062.891;7493.555;7967.285;7902.686;7450.488;7493.555;8031.885;7902.686;7881.152"	"11714.062;11455.664;11714.062;11864.795;11714.062;11391.064;10788.135;10314.404;10099.072;10099.072;9969.873;9689.941;9539.209;9603.809;9560.742;9517.676;9560.742;9496.143;9539.209;9560.742;9625.342;9625.342;9625.342;9603.809;9474.609;9582.275;9991.406;10443.604;10680.469;10831.201;10917.334;11541.797;11649.463;11455.664"	1.583	10	10335.938	229.094	"F"
"2"	2	"Spectrogram 1"	1	2752.693303867	2753.31245063	5867.105	11734.211	2713.184	0.3084	6826.025	9539.209	8936.279	"7795.020;9173.145;9194.678;9151.611;8979.346;8914.746;8828.613;8656.348;8419.482;8074.951;7170.557;6976.758;6804.492;6718.359;6675.293;6632.227;6481.494;6459.961;6459.961;6459.961;6459.961;6438.428;6589.160;6632.227;6352.295;6330.762;6330.762;6244.629;6352.295;6373.828;6309.229;6287.695;6352.295"	"9517.676;9474.609;9345.410;9323.877;9302.344;9237.744;9151.611;9130.078;9108.545;8871.680;8828.613;8742.480;8333.350;8290.283;8031.885;7924.219;7342.822;8010.352;8096.484;7364.355;8118.018;8118.018;7967.285;8031.885;8053.418;8053.418;8247.217;8031.885;7945.752;8204.150;8031.885;7859.619;8053.418"	"10422.070;10335.938;9754.541;9733.008;9797.607;9668.408;9453.076;9323.877;9323.877;9323.877;9302.344;9237.744;9237.744;9216.211;9216.211;9194.678;9216.211;9216.211;9216.211;9280.811;9237.744;9280.811;9302.344;9302.344;10012.939;10379.004;10702.002;10766.602;10788.135;10874.268;10917.334;11003.467;10960.400"	-5.342	12	9474.609	124.637	"F"
"3"	3	"Spectrogram 1"	1	2753.784181497	2754.432811439	6060.526	9026.316	2174.854	0.2721	6653.76	8828.613	8376.416	"6438.428;6739.893;6739.893;6761.426;6804.492;7838.086;8656.348;8462.549;8354.883;8204.150;7988.818;7536.621;7019.824;6976.758;6782.959;6675.293;6653.760;6481.494;6395.361;6373.828;6395.361;6459.961;6459.961;6416.895;6330.762;6330.762;6416.895;6459.961;6438.428;6352.295;6416.895;6395.361;6395.361;6395.361;6373.828"	"6847.559;6804.492;6804.492;8720.947;8742.480;8764.014;8742.480;8742.480;8742.480;8785.547;8742.480;8677.881;8441.016;8290.283;8010.352;7256.689;7235.156;7192.090;7062.891;6976.758;6912.158;6933.691;7062.891;7127.490;7278.223;7041.357;7235.156;7407.422;7472.021;7105.957;6761.426;6610.693;6955.225;7127.490;7235.156"	"8591.748;7881.152;8764.014;8785.547;8828.613;8871.680;8850.146;8850.146;8850.146;8850.146;8850.146;8828.613;8828.613;8828.613;8828.613;8807.080;8807.080;8807.080;8807.080;8828.613;8828.613;8807.080;8785.547;8656.348;8742.480;8828.613;8828.613;8764.014;8785.547;8785.547;8505.615;8742.480;8871.680;8785.547;8828.613"	0.489	10	8828.613	113.954	"F"
"4"	4	"Spectrogram 1"	1	2754.668676872	2755.346789994	5996.053	8703.947	1937.988	0.2902	6632.227	8570.215	8096.484	"6115.430;6180.029;6309.229;6524.561;7149.023;7687.354;8376.416;8419.482;8354.883;8311.816;8139.551;7601.221;7084.424;6869.092;6782.959;6632.227;6632.227;6632.227;6524.561;6481.494;6395.361;6416.895;6459.961;6481.494;6416.895;6395.361;6438.428;6459.961;6438.428;6330.762;6373.828;6287.695;6201.562;6373.828;6266.162;6330.762;6287.695"	"7385.889;7407.422;7708.887;8441.016;8441.016;8462.549;8462.549;8548.682;8548.682;8484.082;8484.082;8376.416;8247.217;8074.951;8118.018;7062.891;6998.291;7213.623;7062.891;6804.492;6804.492;6890.625;6912.158;7256.689;7235.156;6869.092;6826.025;6955.225;7450.488;7170.557;7428.955;7127.490;7149.023;7428.955;7385.889;7299.756;7536.621"	"8311.816;8419.482;8484.082;8484.082;8484.082;8570.215;8570.215;8570.215;8570.215;8570.215;8591.748;8570.215;8527.148;8548.682;8548.682;8505.615;8441.016;8527.148;8268.750;8419.482;8484.082;8505.615;8441.016;8570.215;8548.682;8548.682;8527.148;8548.682;8570.215;8570.215;8570.215;8548.682;8441.016;8397.949;8397.949;8527.148;8548.682"	-0.594	16	8570.215	104.458	"F"
"5"	5	"Spectrogram 1"	1	2756.172319011	2756.93888167	5867.105	14184.211	4005.176	0.3628	6675.293	10680.469	8118.018	"6416.895;6481.494;6632.227;6718.359;7967.285;7945.752;7967.285;7988.818;7967.285;7859.619;7299.756;6890.625;6890.625;6761.426;6675.293;6610.693;6610.693;6546.094;6503.027;6589.160;6610.693;6782.959;6847.559;6782.959;6804.492;6955.225;6890.625;6739.893;6869.092;6890.625;6761.426;6653.760;6524.561;6610.693;6546.094;6503.027;6503.027;6546.094;6330.762;6352.295;6309.229;6503.027;6459.961"	"8074.951;8591.748;8096.484;8053.418;8074.951;8096.484;8118.018;8118.018;8096.484;8096.484;8118.018;8096.484;7988.818;8031.885;8010.352;7902.686;8118.018;8161.084;8656.348;8677.881;8699.414;8656.348;8613.281;8484.082;8311.816;8225.684;8139.551;8204.150;8118.018;8118.018;8333.350;8268.750;8376.416;8139.551;8139.551;8139.551;8139.551;8290.283;8225.684;7967.285;8204.150;8225.684;8161.084"	"13436.719;13479.785;11950.928;10034.473;8441.016;8354.883;8161.084;8161.084;8161.084;10572.803;11240.332;11304.932;11391.064;11068.066;10917.334;10594.336;10637.402;10572.803;10314.404;10292.871;10163.672;10034.473;10012.939;9819.141;9711.475;9776.074;9776.074;9711.475;9625.342;9625.342;9991.406;9969.873;10529.736;10637.402;10680.469;11218.799;11886.328;12187.793;12015.527;12446.191;11757.129;13027.588;12898.389"	-0.113	21	9926.807	121.076	"F"
"6"	6	"Spectrogram 1"	1	2758.265624734	2758.855288317	6640.789	13732.895	3380.713	0.2902	7665.82	11046.533	9453.076	"6675.293;6653.760;6653.760;7213.623;7105.957;7170.557;7385.889;9797.607;9603.809;9366.943;8957.812;8720.947;8354.883;8053.418;7816.553;7751.953;7751.953;7708.887;7601.221;7579.688;7515.088;7515.088;7450.488;7493.555;6933.691;6912.158;6890.625;6761.426;6761.426;6804.492;6782.959;6782.959"	"8828.613;8548.682;8936.279;11154.199;11132.666;10960.400;10658.936;10314.404;10163.672;10120.605;9948.340;9733.008;9496.143;9345.410;8850.146;8634.814;8591.748;8570.215;8311.816;8354.883;8441.016;8225.684;8182.617;8333.350;8376.416;7988.818;8010.352;7708.887;7558.154;8247.217;8204.150;7988.818"	"12898.389;13221.387;13479.785;13458.252;13199.854;13092.188;12575.391;11821.729;11283.398;11003.467;10831.201;10723.535;10702.002;10594.336;10486.670;10206.738;10249.805;10271.338;10228.271;10056.006;10163.672;10142.139;10099.072;10249.805;10292.871;10012.939;10292.871;10142.139;9969.873;11412.598;12037.061;11627.930"	0.498	6	11068.066	240.965	"F"
"7"	7	"Spectrogram 1"	1	2758.943737855	2759.327019185	5673.684	12250	5620.166	0.254	6287.695	11907.861	7364.355	"6007.764;6007.764;6093.896;6244.629;6266.162;6287.695;6352.295;6416.895;6459.961;6459.961;6373.828;6266.162;6180.029;6244.629;6287.695;6180.029;6072.363;6007.764;5943.164;5943.164"	"8096.484;8161.084;7493.555;7278.223;7299.756;7385.889;7385.889;7321.289;7299.756;7342.822;7321.289;7364.355;7385.889;7407.422;7450.488;7515.088;7601.221;7579.688;7515.088;7515.088"	"11175.732;11412.598;10938.867;10766.602;10981.934;11864.795;12015.527;12015.527;12080.127;12080.127;11950.928;12037.061;12080.127;11993.994;11929.395;11907.861;11864.795;11864.795;11735.596;11584.863"	-1.812	10	7515.088	58.164	"M"
"8"	8	"Spectrogram 1"	1	2759.780375586	2760.343939307	6206.667	13556.667	3531.445	0.3084	7385.889	10917.334	9431.543	"6459.961;6395.361;6352.295;6481.494;6804.492;6998.291;7170.557;8204.150;9862.207;9625.342;9323.877;8914.746;8505.615;8161.084;7751.953;7536.621;7428.955;7342.822;7213.623;7342.822;7256.689;7213.623;7170.557;7149.023;7149.023;7084.424;7105.957;7170.557;7062.891;6739.893"	"7213.623;7256.689;7385.889;7385.889;10637.402;10960.400;10766.602;10422.070;10271.338;10228.271;10142.139;10034.473;9862.207;9323.877;8936.279;8871.680;8742.480;8677.881;8333.350;8311.816;8354.883;8268.750;8268.750;8268.750;8290.283;8161.084;8031.885;8161.084;8096.484;8247.217"	"11347.998;12015.527;12144.727;12683.057;13199.854;12898.389;12553.857;11972.461;11455.664;10938.867;10917.334;10615.869;10443.604;10422.070;10271.338;10335.938;10400.537;10379.004;10271.338;10249.805;10249.805;10185.205;10012.939;10099.072;10206.738;10271.338;10077.539;10185.205;10443.604;10594.336"	2.169	12	10766.602	201.793	"F"
"9"	9	"Spectrogram 1"	1	2760.476985652	2760.771575778	4682.222	12304.444	5490.967	0.1814	6158.496	11649.463	7213.623	"4909.570;5124.902;6158.496;6266.162;6287.695;6395.361;6373.828;6395.361;6287.695;6180.029;5900.098;5641.699;5318.701;5361.768;5361.768;5146.436"	"6416.895;6976.758;7170.557;7192.090;7256.689;7256.689;7278.223;7213.623;7149.023;7192.090;7321.289;7321.289;7342.822;7342.822;7342.822;7299.756"	"10723.535;9754.541;9689.941;10895.801;11864.795;11950.928;11864.795;11821.729;11864.795;11714.062;11800.195;11800.195;11886.328;11950.928;11477.197;11735.596"	4.511	7	7558.154	70.034	"M"
"10"	10	"Spectrogram 1"	1	2761.130207237	2761.437605629	4900	12250	5103.369	0.1814	6287.695	11391.064	7321.289	"5534.033;5060.303;5232.568;6244.629;6352.295;6416.895;6632.227;6567.627;6416.895;6201.562;6309.229;5857.031;5620.166;5663.232;5641.699;5512.500"	"7687.354;6567.627;7149.023;7235.156;7256.689;7321.289;7342.822;7428.955;7428.955;7385.889;7450.488;7472.021;7364.355;7450.488;7536.621;7472.021"	"11326.465;10400.537;9603.809;9625.342;10852.734;11563.330;11843.262;11864.795;11477.197;11563.330;11714.062;11347.998;11520.264;11843.262;12080.127;11670.996"	-0.237	8	7622.754	72.408	"M"
